location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
E. 12th Median : 14th Ave to 19th Ave,named_place,"East 12th Median, Oakland, CA",,,,
Center St between 13th St and 14th St,named_place,"Center Street between 13th Street and 14th Street, Oakland, CA",,,,
9th & Pine St,named_place,"9th & Pine Street, Oakland, CA",,,,
88th Ave Mini Park,named_place,"88th Avenue Mini Park, Oakland, CA",,,,
Vallejo & Stanford,named_place,"Vallejo & Stanford, Oakland, CA",,,,
Adeline St & 3rd St,named_place,"Adeline Street & 3rd Street, Oakland, CA",,,,
84th Avenue & International,named_place,"84th Avenue & International Boulevard, Oakland, CA",,,,
36th Ave & Foothill - Vacant Lot,named_place,"36th Avenue & Foothill - Vacant Lot, Oakland, CA",,,,
36th & MLK,named_place,"36th & Martin Luther King Jr Boulevard, Oakland, CA",,,,
Cul-de-sac at 75th Ave & Bancroft Ave,named_place,"Cul-de-sac at 75th Avenue & Bancroft Avenue, Oakland, CA",,,,
E. 12th Median : 14th Ave to 18th Ave,named_place,"East 12th Median, Oakland, CA",,,,
E 11th St & 23rd Ave,named_place,"E 11th Street & 23rd Avenue, Oakland, CA",,,,
Mandela Parkway and West Grand Ave Median (Memorial Park),named_place,"Mandela Parkway and West Grand Avenue Median (Memorial Park), Oakland, CA",,,,
City Lot at E 12th St & 23rd Ave,named_place,"City Lot at E 12th Street & 23rd Avenue, Oakland, CA",,,,
Beach St between 34th St and Shellmound St: 3400 Beach St/ 3502 Beach St (Fencing line),named_place,"Beach Street between 34th Street and Shellmound Street, Oakland, CA",,,,
13th St between Center and Mandela Pkwy,named_place,"13th Street between Center and Mandela Parkway, Oakland, CA",,,,
38th ave Cul De Sac,named_place,"38th ave Cul De Sac, Oakland, CA",,,,
1000 Calcot Place (Homeless camp is on 23rd Ave near on-ramp near large blue building),named_place,"1000 Calcot Place (Homeless camp is on 23rd Avenue near on-ramp near large blue building), Oakland, CA",,,,
Cul de sac at 1091 Calcot Pl,named_place,"Cul de sac at 1091 Calcot Place, Oakland, CA",,,,
Cul de sac at Collins Drive & Hegenberger Rd,named_place,"Cul de sac at Collins Drive & Hegenberger Road, Oakland, CA",,,,
10th St & East Dr,named_place,"10th Street & East Drive, Oakland, CA",,,,
Independent Loop,named_place,"Independent Loop, Oakland, CA",,,,
E 12th Median: 14th Ave - 18th Ave,named_place,"E 12th Median, Oakland, CA",,,,
Bancroft Ave & Ritchie St: 2507 Ritchie Street,named_place,"Bancroft Avenue & Ritchie Street, Oakland, CA",,,,
14th St between Center St & Mandela Parkway,named_place,"14th Street between Center Street & Mandela Parkway, Oakland, CA",,,,
Beach St/Wood St between 34th St and Halleck St,named_place,"Beach Street, Oakland, CA",,,,
East 8th Cul De Sac,named_place,"East 8th Cul De Sac, Oakland, CA",,,,
City Lot at Alameda - 3801 E 8th St,named_place,"City Lot at Alameda - 3801 E 8th Street, Oakland, CA",,,,
E Street & 100th Avenue,named_place,"East Street & 100th Avenue, Oakland, CA",,,,
Grand Ave between MacArthur and Lake Park Ave,named_place,"Grand Avenue between MacArthur and Lake Park Avenue, Oakland, CA",,,,
Lakeshore Ave between MacArthurd Ave and Lake Park Ave,named_place,"Lakeshore Avenue between MacArthurd Avenue and Lake Park Avenue, Oakland, CA",,,,
East 12th & 2nd Avenue,named_place,"East 12th & 2nd Avenue, Oakland, CA",,,,
Lake Park Parking Lot,named_place,"Lake Park Parking Lot, Oakland, CA",,,,
South Prescott Park and Dog Park,named_place,"South Prescott Park and Dog Park, Oakland, CA",,,,
E 12th Remainder Parcel: Adjacent to LML,named_place,"E 12th Remainder Parcel, Oakland, CA",,,,
3rd St between Center St and Chester St,named_place,"3rd Street between Center Street and Chester Street, Oakland, CA",,,,
Oak Glenn Park: 3339 Richmond Blvd,named_place,"Oak Glenn Park, Oakland, CA",,,,
12th Street Estuary/Rear of Dewey High School,named_place,"12th Street Estuary, Oakland, CA",,,,
Baldwin and Hegenberger (Triangle Lot),named_place,"Baldwin and Hegenberger (Triangle Lot), Oakland, CA",,,,
2nd & Brush,named_place,"2nd & Brush, Oakland, CA",,,,
Snow Park,named_place,"Snow Park, Oakland, CA",,,,
MLK & Thomas L Berkley Way,named_place,"Martin Luther King Jr Boulevard & Thomas L Berkley Way, Oakland, CA",,,,
Elmhurst Library: 1427 88th Ave,named_place,"Elmhurst Library, Oakland, CA",,,,
Game Changer Lot - 2599 Wood St,named_place,"Game Changer Lot - 2599 Wood Street, Oakland, CA",,,,
Franklin St & 6th St,named_place,"Franklin Street & 6th Street, Oakland, CA",,,,
Concordia Park,named_place,"Concordia Park, Oakland, CA",,,,
Embarcadero Bay Trail,named_place,"Embarcadero Bay Trail, Oakland, CA",,,,
Downtown Oakland Senior Center,named_place,Downtown Oakland Senior Center,,,,
Lakeside Recycling: 77th & Hawley,named_place,"Lakeside Recycling, Oakland, CA",,,,
E 12th St & 23rd Ave,named_place,"E 12th Street & 23rd Avenue, Oakland, CA",,,,
Bishop Floyd Plaza: 2070 San Pablo Ave,named_place,"Bishop Floyd Plaza, Oakland, CA",,,,
City Lot -796 66th Avenue Parking,named_place,"City Lot -796 66th Avenue Parking, Oakland, CA",,,,
Fitzgerald Park,named_place,"Fitzgerald Park, Oakland, CA",,,,
Frank Ogawa Plaza,named_place,"Frank Ogawa Plaza, Oakland, CA",,,,
Leet Drive,named_place,"Leet Drive, Oakland, CA",,,,
City Lot - Near 105th & Knight St,named_place,"City Lot - Near 105th & Knight Street, Oakland, CA",,,,
Ascend Charter/3709 E 12th St,named_place,"Ascend Charter, Oakland, CA",,,,
Joaquin Miller Park,named_place,"Joaquin Miller Park, Oakland, CA",,,,
